cancer,morbidity,cancer_size,morbid_size,pre_diag,post_diag,total,pre_diag_perc,post_diag_perc,total_perc
Biliary tract,Gastritis_and_duodenitis,44,10359,21,2,23,0.4772727272727273,0.045454545454545456,0.5227272727272727
Biliary tract,Gastro-oesophageal_reflux_disease,44,11092,17,4,21,0.38636363636363635,0.09090909090909091,0.4772727272727273
Biliary tract,Gastroinstetinal_polyp,44,2864,8,2,10,0.18181818181818182,0.045454545454545456,0.22727272727272727
Biliary tract,Gastrointestinal_angiodysplasia,44,97,0,0,0,0.0,0.0,0.0
Biliary tract,Giant_Cell_arteritis,44,69,0,0,0,0.0,0.0,0.0
Biliary tract,Glaucoma,44,1006,2,0,2,0.045454545454545456,0.0,0.045454545454545456
Biliary tract,Glomerulonephritis_and_other_nephritides,44,718,2,1,3,0.045454545454545456,0.022727272727272728,0.06818181818181818
Biliary tract,Gout,44,1146,3,0,3,0.06818181818181818,0.0,0.06818181818181818
Biliary tract,HIV,44,68,0,0,0,0.0,0.0,0.0
Biliary tract,Hearing_loss,44,3750,8,3,11,0.18181818181818182,0.06818181818181818,0.25
Biliary tract,Heart_failure,44,1654,4,0,4,0.09090909090909091,0.0,0.09090909090909091
Biliary tract,Heart_valve_disease_non-rheumatic,44,1600,4,1,5,0.09090909090909091,0.022727272727272728,0.11363636363636363
Biliary tract,Hidradenitis_suppurativa,44,263,0,0,0,0.0,0.0,0.0
Biliary tract,Hyperparathyroidism,44,160,0,0,0,0.0,0.0,0.0
Biliary tract,Hyperplasia_of_prostate,44,1655,10,0,10,0.22727272727272727,0.0,0.22727272727272727
Biliary tract,Hyperprolactinaemia_and_prolactinoma,44,373,0,0,0,0.0,0.0,0.0
Biliary tract,Hypertension,44,14850,33,1,34,0.75,0.022727272727272728,0.7727272727272727
Biliary tract,Hypertrophic_Cardiomyopathy,44,149,0,0,0,0.0,0.0,0.0
Biliary tract,Hypertrophy_of_nasal_turbinates,44,1423,0,0,0,0.0,0.0,0.0
Biliary tract,Hypopituitarism,44,130,0,0,0,0.0,0.0,0.0
Biliary tract,Hyposplenism,44,65,0,1,1,0.0,0.022727272727272728,0.022727272727272728
Biliary tract,Immunodeficiencies,44,26,0,0,0,0.0,0.0,0.0
Biliary tract,Infection_of_bones_and_joints,44,291,0,0,0,0.0,0.0,0.0
Biliary tract,Intervertebral_disc_disorders,44,3583,6,2,8,0.13636363636363635,0.045454545454545456,0.18181818181818182
Biliary tract,Intracerebral_haemorrhage,44,152,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Intracranial_hypertension,44,93,0,0,0,0.0,0.0,0.0
Biliary tract,Iron_deficiency_with_and_without_anaemia,44,9635,10,7,17,0.22727272727272727,0.1590909090909091,0.38636363636363635
Biliary tract,Irritable_bowel_syndrome,44,2574,3,1,4,0.06818181818181818,0.022727272727272728,0.09090909090909091
Biliary tract,IschemicStroke_MGH,44,826,2,2,4,0.045454545454545456,0.045454545454545456,0.09090909090909091
Biliary tract,Juvenile_arthritis,44,27,0,0,0,0.0,0.0,0.0
Biliary tract,Learning_disability,44,406,0,0,0,0.0,0.0,0.0
Biliary tract,Lichen_planus,44,782,0,0,0,0.0,0.0,0.0
Biliary tract,Liver_failure_and_transplant,44,189,2,0,2,0.045454545454545456,0.0,0.045454545454545456
Biliary tract,Liver_fibrosis_sclerosis_and_cirrhosis,44,321,3,2,5,0.06818181818181818,0.045454545454545456,0.11363636363636363
Biliary tract,Lupus_erythematosus_local_and_systemic,44,170,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Macular_degeneration,44,428,3,0,3,0.06818181818181818,0.0,0.06818181818181818
Biliary tract,Male_infertility,44,449,0,0,0,0.0,0.0,0.0
Biliary tract,Meniere_disease,44,127,0,0,0,0.0,0.0,0.0
Biliary tract,Menorrhagia_and_polymenorrhoea,44,5966,2,1,3,0.045454545454545456,0.022727272727272728,0.06818181818181818
Biliary tract,Migraine,44,6105,1,1,2,0.022727272727272728,0.022727272727272728,0.045454545454545456
Biliary tract,Motor_neuron_disease,44,15,0,0,0,0.0,0.0,0.0
Biliary tract,Multiple_sclerosis,44,55,0,0,0,0.0,0.0,0.0
Biliary tract,Myasthenia_gravis,44,19,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Myelodysplastic_syndromes,44,15,0,0,0,0.0,0.0,0.0
Biliary tract,Nasal_polyp,44,830,0,0,0,0.0,0.0,0.0
Biliary tract,Neuromuscular_dysfunction_of_bladder,44,769,3,0,3,0.06818181818181818,0.0,0.06818181818181818
Biliary tract,Non-acute_cystitis,44,230,0,0,0,0.0,0.0,0.0
Biliary tract,Non-alcoholic_fatty_liver_disease_and_steatohepatitis,44,5108,9,2,11,0.20454545454545456,0.045454545454545456,0.25
Biliary tract,Non-diabetic_peripheral_neuropathies_excluding_cranial_nerves_and_carpal_tunnel_syndrome,44,1525,1,3,4,0.022727272727272728,0.06818181818181818,0.09090909090909091
Biliary tract,Non-malignant_tumour_of_brain_central_nervous_system_and_pituitary,44,248,0,0,0,0.0,0.0,0.0
Biliary tract,Obesity,44,11839,11,2,13,0.25,0.045454545454545456,0.29545454545454547
Biliary tract,Obsessive-compulsive_disorder,44,276,0,0,0,0.0,0.0,0.0
Biliary tract,Obstructive_and_reflux_uropathy,44,887,0,1,1,0.0,0.022727272727272728,0.022727272727272728
Biliary tract,Oesophagitis_and_oesophageal_ulcer,44,3210,9,2,11,0.20454545454545456,0.045454545454545456,0.25
Biliary tract,Osteoarthritis_excl_spine,44,7648,20,4,24,0.45454545454545453,0.09090909090909091,0.5454545454545454
Biliary tract,Osteoporosis,44,659,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Other_anaemias,44,8928,17,6,23,0.38636363636363635,0.13636363636363635,0.5227272727272727
Biliary tract,Other_haemolytic_anaemias,44,328,0,0,0,0.0,0.0,0.0
Biliary tract,Other_interstitial_pulmonary_diseases_with_fibrosis,44,216,0,0,0,0.0,0.0,0.0
Biliary tract,Other_psychoactive_substance_misuse,44,4852,10,4,14,0.22727272727272727,0.09090909090909091,0.3181818181818182
